"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_ssfunding.com","FirstLinkDate_ssfunding.com","LastLinkDate_ssfunding.com"
1,"kdbc.com",8361,641168,1,2,236987,2148491,542807,27/07/2008 00:00,10/08/2013 00:00,"50.19.84.25","50.19.84.0","US","com",32,34,2,14/06/2013 00:00,14/06/2013 00:00
2,"urbanacitizen.com",3678,841685,1,2,54680,13685225,996728,12/02/2008 00:00,10/08/2013 00:00,"64.72.140.231","64.72.140.0","US","com",18,23,2,09/06/2013 00:00,09/06/2013 00:00
3,"ncnewspress.com",5487,-1,1,2,918584,21759705,1521574,14/01/2008 00:00,10/08/2013 00:00,"205.139.40.72","205.139.40.0","US","com",31,33,2,26/03/2011 00:00,26/03/2011 00:00
4,"santafenewmexican.com",61510,85300,1,1,7374229,18896574,1341699,13/01/2008 00:00,10/08/2013 00:00,"192.104.183.209","192.104.183.0","US","com",34,36,1,14/06/2013 00:00,14/06/2013 00:00
5,"snn.gr",33985,140673,1,1,60556904,1063343,423418,17/01/2008 00:00,10/08/2013 00:00,"64.136.20.37","64.136.20.0","US","gr",63,24,1,04/04/2012 00:00,28/05/2013 00:00
6,"the-daily-record.com",16503,331116,1,1,322178,9439970,939394,16/01/2008 00:00,10/08/2013 00:00,"50.19.238.131","50.19.238.0","US","com",26,34,1,10/06/2013 00:00,10/06/2013 00:00
7,"democratherald.com",42591,337048,1,1,1858628,5357645,834547,18/05/2008 00:00,10/08/2013 00:00,"192.104.182.209","192.104.182.0","US","com",35,37,1,13/06/2013 00:00,13/06/2013 00:00
8,"ktvl.com",38744,372076,1,1,1208412,8007343,939231,04/02/2008 00:00,10/08/2013 00:00,"174.127.81.162","174.127.81.0","US","com",41,32,1,02/03/2011 00:00,02/03/2011 00:00
9,"helena-arkansas.com",8281,488262,1,1,870360,18395920,1261788,31/08/2008 00:00,10/08/2013 00:00,"205.139.40.72","205.139.40.0","US","com",31,35,1,10/06/2013 00:00,10/06/2013 00:00
10,"kveo.com",4850,917728,1,1,69504,1972793,515067,09/02/2008 00:00,10/08/2013 00:00,"50.19.84.25","50.19.84.0","US","com",33,32,1,13/06/2013 00:00,13/06/2013 00:00
11,"1clickmoney.com",1578,-1,1,1,78354,807725,149893,02/12/2009 00:00,01/08/2013 00:00,"50.116.97.54","50.116.97.0","US","com",25,14,1,23/11/2011 00:00,23/11/2011 00:00
12,"irvingmortgage.net",1,-1,1,1,1,17603,15800,03/01/2011 00:00,25/04/2013 00:00,"74.117.221.143","74.117.221.0","KY","net",0,0,1,07/02/2011 00:00,07/02/2011 00:00
13,"shelbyvilledailyunion.com",14352,-1,1,1,95516,10289833,942561,12/01/2008 00:00,10/08/2013 00:00,"74.84.203.173","74.84.203.0","US","com",33,35,1,09/06/2013 00:00,09/06/2013 00:00
14,"plumaslakelife.com",1062,-1,1,1,2849330,8725318,889432,31/03/2008 00:00,10/08/2013 00:00,"141.242.248.222","141.242.248.0","US","com",31,37,1,19/06/2013 00:00,19/06/2013 00:00
15,"qxiu.com",8295,-1,1,1,1088665,2411932,912671,03/02/2008 00:00,10/08/2013 00:00,"70.39.99.89","70.39.99.0","US","com",22,16,1,04/01/2010 00:00,04/01/2010 00:00
16,"lewisvillemortgage.net",1,-1,1,1,1,90542,64568,05/12/2010 00:00,14/02/2011 00:00,"208.122.229.10","208.122.229.0","US","net",0,0,1,27/01/2011 00:00,27/01/2011 00:00
17,"lookallweb.com",750,-1,1,1,36560,444390,325901,07/10/2008 00:00,10/08/2013 00:00,"74.220.199.8","74.220.199.0","US","com",10,6,1,18/10/2011 00:00,04/12/2011 00:00
18,"chillicothenews.com",8063,-1,1,1,652238,4516202,712310,19/09/2008 00:00,10/08/2013 00:00,"205.139.40.72","205.139.40.0","US","com",30,29,1,12/06/2013 00:00,12/06/2013 00:00
19,"andovertownsman.com",23877,-1,1,1,819092,1478619,352691,04/02/2008 00:00,10/08/2013 00:00,"74.84.203.173","74.84.203.0","US","com",35,37,1,09/06/2013 00:00,09/06/2013 00:00
20,"reporterherald.com",38189,-1,1,1,1566432,18252890,1317011,14/01/2008 00:00,10/08/2013 00:00,"157.238.74.104","157.238.74.0","US","com",39,38,1,10/06/2013 00:00,10/06/2013 00:00
21,"serversniff.net",2361,-1,1,1,1090039,1368189,547938,27/01/2008 00:00,10/08/2013 00:00,"85.214.24.209","85.214.24.0","DE","net",48,27,1,02/08/2010 00:00,22/04/2012 00:00
